,,,,,,,
,,,,,,,
,,,,,,,
slno,Questions,A,B,C,D,,Answer
6,"What will be the output of this program? If input command is
C:\TC\BIN>prg_1 includehelp.com C C++ Java
#include <stdio.h>
int main(int argc,char* argv[])
{
    printf(""%d"",argc);
    return 0;
}",4,5,6,3,5,
7,"What will be the output of this program? If input command is
C:\TC\BIN>prg_2 1,2 ""Ok"" ""Hii"" Hello , AAA
#include <stdio.h>
int main(int counter,char** arg)
{
    unsigned char tally;
    for(tally=0;tally< counter; tally+=1)
        printf(""%s|"",arg[tally]);
    return 0;
}","C:\TC\BIN\PRG_2.EXE|1,2|Ok|Hii|Hello|,|AAA|",ERROR: Invalid argument list.,"C:\TC\BIN\PRG_2.EXE|1|,|2|Ok|Hii|Hello|,|AAA|","1,2|Ok|Hii|Hello|,|AAA|","C:\TC\BIN\PRG_2.EXE|1,2|Ok|Hii|Hello|,|AAA|",
8,"What will be the output of this program? If input command is
C:\TC\BIN>prg_2 Include Help .Com
#include <stdio.h>
int main(int argc,char** arg)
{
    printf(""%s"",arg[argc]);
    return 0;
}",(null),.Com,Help,C:\TC\BIN>prg_2.exe,(null),
9,"What will be the output of this program? If input command is
C:\TC\BIN>prg_3 10 20 30
#include <stdio.h>
#include <stdlib.h>
int main(int argc,char* argv[])
{
    int answer;
 
    answer=atoi(argv[1])+atoi(argv[2]);
    printf(""%d"",answer);
    return 0;
}",50,60,0,30,30,
10,"What will be the output of following program ?
#include <stdio.h>
void main()
{   
    printf(""value is = %d"",(10++));
}",10,11,0,error,error,
11,"What will be the output of following program ?
#include <stdio.h>
void main()
{   
	const char var='A';
	++var;
	printf(""%c"",var);
}",B,A,ERROR,66,ERROR,
12,"What will be the output of following program ?
#include <stdio.h>
void main()
{   
	int x=10;
	x+=(x++)+(++x)+x;
	printf(""%d"",x);
}",44,45,46,47,45,
13,"What will be the output of following program ?
#include <stdio.h>
void main()
{   
	int a=10,b=2,x=0;
	x=a+b*a+10/2*a;
	printf(""value is =%d"",x);
}",value is =1250,value is =80,value is =125,ERROR,value is =80,
14,"What will be the output of following program ?
#include <stdio.h>
void main()
{   
	unsigned short var='B';
	var+=2;
	var++;
	printf(""var : %c , %d "", var,var);
}","var : E, 69","var : E, 68","var : D, 68","var : D, 69","var : E, 69",
15,"What will be the output of following program ?
#include <stdio.h>
void main()
{   
	char var=10;
	printf(""var is = %d"",++var++);
}",ERROR : Can not modify var.,ERROR : L-Value required.,ERROR : Expression syntax.,12,ERROR : L-Value required.,
